PolicyholderNumber,FirstPartyVehicleNumber,PolicyholderOccupation,FirstPolicySubscriptionDate,FirstPartyVehicleType,PolicyholderPostCode,PolicyWasSubscribedOnInternet,NumberOfPoliciesOfPolicyholder,FpVehicleAgeMonths,PolicyHolderAge,FirstPartyLiability,ReferenceId,ThirdPartyVehicleNumber,InsurerNotes,LossDate,ClaimCause,ClaimInvolvedCovers,DamageImportance,ConnectionBetweenParties,LossPostCode,EasinessToStage,ClaimWithoutIdentifiedThirdParty,ClaimAmount,LossHour,NumberOfBodilyInjuries,Fraud
PH002423,V90147,Engineer,2018-10-23,Motorcycle,75014,0,4,132,71,0.8048815000770535,REF002423,V57227,Theft reported,2020-01-04,Theft,Liability,6,No,74636,0.44196378118611357,0,1755.8137892570044,21,0,0.0
PH004927,V52184,Doctor,2013-02-21,Truck,68785,0,3,200,69,0.7263828535186597,REF004927,V89761,Theft reported,2020-02-02,Vandalism,Liability,2,No,86905,0.870228755005343,0,1565.425395035636,1,0,0.0
PH007521,V27027,Teacher,2014-03-04,SUV,30119,1,2,5,25,0.4708191667881445,REF007521,V34516,Theft reported,2020-06-02,Vandalism,Liability,3,No,46302,0.7752067773481539,0,23693.364338865802,13,0,0.0
PH005721,V42539,Teacher,2010-11-10,Van,27381,0,1,186,34,0.8256498968330627,REF005721,V80091,Minor damage,2020-07-26,Accident,Comprehensive,6,No,53897,0.038150170704735586,0,1294.8391791229906,15,0,0.0
PH008082,V29443,Teacher,2020-12-26,Van,10924,0,1,144,51,0.7383722101875855,REF008082,V71928,Partial damage,2020-04-07,Vandalism,Collision,7,No,36117,0.8552137137805903,0,8931.834779857052,10,0,0.0
PH001432,V76039,Business,2017-02-26,SUV,16173,0,2,155,35,0.8737977460525416,REF001432,V26884,Theft reported,2020-06-20,Accident,Comprehensive,1,No,33493,0.8400571510949122,0,12971.451751516604,12,0,0.0
PH001711,V92756,Business,2011-01-22,Van,71816,0,1,94,62,0.8856418795301754,REF001711,V35892,Minor damage,2019-12-07,Accident,Comprehensive,9,No,51756,0.24365627977739523,0,6248.216673424486,20,0,0.0
PH003970,V57069,Teacher,2013-08-27,Truck,11265,0,1,113,30,0.5456281906032083,REF003970,V98862,Total loss,2020-01-11,Theft,Liability,2,No,57755,0.33065999766812215,0,3589.660965108537,9,0,0.0
PH002568,V93719,Teacher,2014-02-16,Truck,21510,1,1,197,40,0.7313624169560716,REF002568,V69168,Theft reported,2020-09-13,Accident,Collision,9,No,61530,0.09027683065261283,0,9597.942832033625,12,3,0.0
PH002980,V75517,Other,2010-10-09,Motorcycle,21194,0,2,178,39,0.2814594165177267,REF002980,V51958,Theft reported,2019-01-23,Theft,Medical,9,No,36507,0.14195528104507615,1,16889.2976281381,1,0,0.0
PH001988,V27486,Doctor,2017-11-21,Motorcycle,83679,0,1,9,40,0.1888974379456604,REF001988,V46406,Theft reported,2020-11-11,Theft,Collision,7,No,78650,0.38226687050927133,0,8940.413991623345,11,1,0.0
PH009171,V52358,Lawyer,2010-08-21,SUV,11429,0,1,2,28,0.21459852437578678,REF009171,V32273,Partial damage,2020-08-22,Theft,Medical,7,No,42447,0.9087487899148289,0,30493.455533921107,1,0,0.0
PH001697,V68838,Doctor,2012-04-12,SUV,13135,0,2,207,30,0.48532988112395714,REF001697,V70339,Theft reported,2020-06-08,Accident,Medical,8,No,97294,0.7750800090563262,0,16036.810119640839,15,0,0.0
PH005700,V70142,Lawyer,2020-08-15,Van,76411,0,2,159,36,0.6970809161148571,REF005700,V35813,Total loss,2019-08-29,Fire,Collision,1,No,31185,0.19992597906611942,0,29402.457811684446,17,0,0.0
PH002931,V82305,Other,2014-01-03,SUV,80527,0,1,229,70,0.23212332646013423,REF002931,V94554,Partial damage,2020-02-01,Vandalism,Liability,1,No,88139,0.333412758955025,0,10139.384710491015,13,0,0.0
PH002416,V51116,Business,2017-02-03,SUV,62926,0,2,77,73,0.7233613117445372,REF002416,V95379,Minor damage,2019-10-06,Accident,Collision,7,No,64929,0.3237616825372265,0,30588.36273064215,0,0,0.0
PH003014,V61007,Other,2018-01-18,SUV,65323,0,3,134,29,0.21630853127010552,REF003014,V94512,Theft reported,2020-07-21,Vandalism,Comprehensive,5,No,46838,0.9233196113411826,1,45200.49044196674,4,0,0.0
PH004392,V31432,Business,2011-01-11,Car,55874,0,4,126,43,0.7957472572923115,REF004392,V18816,Theft reported,2020-09-24,Vandalism,Comprehensive,1,Yes,34735,0.42965132244164705,1,10775.608676051017,7,0,0.0
PH001164,V14705,Lawyer,2014-08-18,SUV,93561,0,3,191,73,0.6775948977171239,REF001164,V26759,Theft reported,2020-02-07,Accident,Liability,6,No,58412,0.5099144297043875,0,7175.672466878158,22,0,0.0
PH004868,V22771,Engineer,2012-05-07,Motorcycle,52112,0,2,114,24,0.38517685469705487,REF004868,V17500,Total loss,2020-04-05,Natural Disaster,Collision,4,No,90302,0.14102846483907483,0,49300.77351268242,6,0,0.0
PH004954,V55258,Engineer,2017-01-31,Motorcycle,81264,1,1,25,60,0.6997084395824728,REF004954,V12635,Total loss,2019-03-18,Vandalism,Medical,3,No,16952,0.5067256443802126,0,45268.59475379137,12,0,0.0
PH008726,V12438,Doctor,2016-06-12,Van,26966,0,1,66,44,0.175638852965103,REF008726,V59734,Theft reported,2019-07-10,Natural Disaster,Medical,2,No,50248,0.35611426284845915,0,37517.56379801834,22,0,0.0
PH001830,V14947,Business,2010-07-27,Car,24418,0,1,39,35,0.8828735841940446,REF001830,V16678,Minor damage,2019-11-17,Fire,Collision,9,No,72237,0.6645557253390159,0,11425.398892757506,19,0,0.0
PH000474,V46517,Business,2013-07-21,Motorcycle,32761,1,2,89,57,0.8403560447182387,REF000474,V51035,Minor damage,2019-08-21,Theft,Collision,5,No,67431,0.6374043000796544,0,32927.31922685157,13,0,0.0
PH006352,V10860,Engineer,2014-10-16,Car,14170,0,1,99,24,0.6516590540359236,REF006352,V33935,Minor damage,2020-05-01,Accident,Collision,7,Yes,82802,0.6563131977186084,1,15777.722415347831,16,0,0.0
PH004988,V99573,Business,2018-08-27,Truck,32378,0,3,122,79,0.27103803545923455,REF004988,V74210,Total loss,2019-10-23,Natural Disaster,Medical,4,No,57003,0.7844830682005183,1,13581.931747210545,20,2,0.0
PH005007,V76967,Business,2011-08-09,Truck,33925,0,2,226,59,0.868231405892289,REF005007,V94673,Minor damage,2020-11-08,Theft,Medical,8,No,41441,0.8222325003047843,1,43437.67011408711,16,0,0.0
PH005670,V46242,Business,2018-03-11,Truck,79440,0,1,210,60,0.19314881454408728,REF005670,V55116,Minor damage,2020-10-08,Fire,Collision,8,No,10236,0.2900570276134846,0,8558.489453899372,7,0,0.0
PH003546,V87814,Engineer,2011-02-23,Truck,90823,0,1,33,51,0.4864006186441022,REF003546,V67557,Theft reported,2019-11-08,Accident,Medical,3,No,59700,0.8952003040184012,0,7499.788862543834,13,0,0.0
PH007904,V64758,Lawyer,2015-09-06,SUV,59109,1,1,42,66,0.804157463383332,REF007904,V31519,Total loss,2020-12-25,Vandalism,Medical,9,No,58595,0.7804692812611607,0,22034.15887995918,23,1,0.0
PH004078,V10235,Teacher,2020-06-24,SUV,24590,0,1,98,69,0.3945861991377748,REF004078,V41061,Minor damage,2020-06-08,Natural Disaster,Medical,5,Yes,44978,0.7778277560735147,0,47825.1932075016,23,0,0.0
PH001181,V16028,Lawyer,2015-03-17,SUV,78882,0,1,16,51,0.5870591780829171,REF001181,V96474,Total loss,2020-03-07,Accident,Medical,8,No,51178,0.8996358338197942,0,33423.29090673031,3,2,0.0
PH006589,V13862,Lawyer,2020-12-08,SUV,30646,0,3,96,34,0.3231187295227061,REF006589,V80547,Total loss,2020-04-26,Natural Disaster,Liability,3,No,83019,0.13408240289102635,1,10503.02381324158,5,1,0.0
PH000998,V12719,Engineer,2012-05-15,Van,61377,0,1,75,74,0.391635139155469,REF000998,V60377,Theft reported,2019-06-12,Accident,Comprehensive,2,No,67410,0.29283037136084344,1,5854.011031088969,16,0,0.0
PH005156,V17113,Other,2011-07-22,Van,54758,1,1,89,51,0.599356145458846,REF005156,V97802,Minor damage,2019-02-16,Theft,Comprehensive,4,No,95842,0.7250174769673492,1,823.1374504822606,17,0,0.0
PH004801,V17152,Other,2011-09-15,Motorcycle,21198,0,1,21,73,0.4960281159505432,REF004801,V59454,Minor damage,2020-09-27,Theft,Medical,8,No,39534,0.14775982867863424,0,13529.84834325338,2,1,0.0
PH009953,V37606,Business,2020-05-15,Van,75498,0,3,56,37,0.29831824905415716,REF009953,V36760,Minor damage,2019-11-13,Accident,Collision,5,No,90730,0.24356765854750484,0,13298.297855161896,18,1,0.0
PH009277,V33534,Business,2014-07-10,SUV,14412,0,1,140,53,0.447303779089924,REF009277,V22218,Theft reported,2019-07-12,Vandalism,Liability,9,Yes,80163,0.43452322111478303,0,38249.87020522465,12,0,0.0
PH001208,V93611,Doctor,2014-09-07,Motorcycle,21289,0,3,142,28,0.7135766533635758,REF001208,V54987,Partial damage,2020-02-12,Fire,Collision,5,No,26506,0.17150759841090724,0,12340.486914642064,23,0,0.0
PH009001,V63546,Engineer,2010-08-02,Van,45739,0,2,28,36,0.3389479688420556,REF009001,V35733,Total loss,2020-04-11,Theft,Medical,1,No,10531,0.07530932183090733,0,2945.4072783643987,8,0,0.0
PH003402,V58085,Business,2010-04-02,Motorcycle,71300,1,3,201,55,0.28487329967293296,REF003402,V38686,Total loss,2020-04-07,Accident,Comprehensive,9,Yes,65555,0.8905053925762356,0,42802.63213285129,11,0,0.0
PH008771,V13631,Other,2020-11-03,Motorcycle,73086,0,3,205,70,0.7618181691010596,REF008771,V30808,Minor damage,2020-11-13,Natural Disaster,Collision,3,No,56563,0.4036223441840604,1,12457.279045272604,14,1,0.0
PH005879,V85483,Doctor,2016-07-19,Van,80628,0,1,100,68,0.12261399615727236,REF005879,V50372,Minor damage,2020-07-28,Theft,Collision,5,No,99336,0.1984354179340443,0,10571.665298803204,23,0,0.0
PH001674,V79547,Engineer,2017-09-20,Car,97175,0,1,118,27,0.3579554994568669,REF001674,V25448,Minor damage,2020-06-27,Natural Disaster,Collision,5,No,26384,0.35670144290365335,1,22590.729147791542,22,0,0.0
PH009797,V96278,Business,2015-04-12,SUV,12066,0,3,96,44,0.8720900986446962,REF009797,V84338,Total loss,2020-10-25,Vandalism,Collision,6,No,60095,0.7306635271287291,0,36876.567976663144,22,0,0.0
PH003509,V70238,Business,2020-05-23,Motorcycle,24560,1,1,47,67,0.4611311026246929,REF003509,V98562,Theft reported,2019-04-22,Accident,Liability,2,No,99482,0.6449557980465436,0,34738.378351247884,6,0,0.0
PH006484,V55838,Other,2013-02-08,SUV,65351,0,1,134,77,0.13712860589796438,REF006484,V74819,Partial damage,2020-07-28,Fire,Medical,3,No,61658,0.9200509314778402,1,16825.795208793228,12,0,0.0
PH000822,V82768,Doctor,2012-09-14,Motorcycle,20233,0,1,213,71,0.8548992508948281,REF000822,V28029,Total loss,2020-08-31,Vandalism,Medical,7,No,72179,0.8656770688546153,0,21437.034328628215,6,0,0.0
PH006604,V99983,Engineer,2013-03-01,SUV,32329,0,1,204,77,0.8967690266829974,REF006604,V44692,Minor damage,2020-03-10,Accident,Comprehensive,2,No,30032,0.7576282118858257,0,44819.51156063767,1,0,0.0
PH000081,V89840,Other,2020-10-08,Van,69529,0,3,83,73,0.10531591721712719,REF000081,V53870,Partial damage,2020-08-15,Natural Disaster,Liability,1,No,59415,0.7553210474127052,0,48286.2089755437,6,1,1.0
PH001640,V85465,Teacher,2018-09-27,SUV,39550,1,1,157,72,0.6695736809649842,REF001640,V34927,Total loss,2020-04-02,Theft,Medical,5,No,52114,0.7573990688203297,0,27994.104034290413,2,1,0.0
PH007986,V41278,Lawyer,2020-10-03,Van,79493,0,1,142,32,0.5465075814751151,REF007986,V10035,Partial damage,2020-01-11,Vandalism,Liability,8,No,33879,0.7226424802334469,0,22271.913944696764,5,0,0.0
PH006583,V75700,Teacher,2012-05-13,Truck,64294,0,1,237,33,0.6546801713202589,REF006583,V32551,Minor damage,2019-05-26,Natural Disaster,Medical,3,No,79525,0.4380941369927277,0,36818.53443661353,21,0,0.0
PH001291,V25095,Business,2012-08-21,Car,35299,0,1,5,47,0.8186027434963917,REF001291,V96409,Minor damage,2020-04-17,Vandalism,Medical,6,No,72127,0.47589073847415475,1,19905.142106478812,5,0,0.0
PH004140,V54801,Lawyer,2012-09-08,Van,87567,1,2,232,33,0.6455521441927872,REF004140,V96402,Total loss,2019-12-19,Fire,Collision,2,No,66426,0.9612325839904606,0,43911.32906877146,7,0,0.0
PH005378,V95003,Other,2013-09-21,Motorcycle,87621,0,1,189,49,0.5641434385569042,REF005378,V18352,Theft reported,2019-02-22,Accident,Medical,9,No,11880,0.4205202963129545,0,41708.99141809456,21,0,0.0
PH005829,V45382,Lawyer,2013-10-12,Truck,32169,0,2,40,39,0.3191376882550828,REF005829,V68090,Theft reported,2020-10-21,Accident,Medical,3,No,18242,0.02969730534333881,0,12036.763404256233,17,0,0.0
PH004464,V29651,Lawyer,2015-09-04,Car,68886,1,1,28,23,0.3551247656446679,REF004464,V65731,Theft reported,2020-02-28,Vandalism,Liability,1,No,83053,0.34939206925036626,0,16874.825974980224,11,0,0.0
PH005247,V19587,Engineer,2014-08-09,Motorcycle,12559,1,4,58,24,0.5447260317913267,REF005247,V54186,Partial damage,2020-10-29,Fire,Comprehensive,5,No,35573,0.9301530708357365,0,24353.78847906209,15,0,0.0
PH009237,V78770,Doctor,2011-09-15,Van,88134,0,1,219,75,0.48947094444664063,REF009237,V63723,Partial damage,2020-05-18,Theft,Medical,1,No,24657,0.06601094319904832,0,5634.651675500186,19,0,0.0
PH001691,V33218,Business,2018-08-20,Truck,53781,0,1,50,55,0.6536873590576229,REF001691,V90969,Total loss,2019-06-16,Theft,Collision,4,No,35180,0.5465133678950475,0,49354.68991180308,20,0,0.0
PH007938,V69616,Doctor,2016-04-22,Car,52667,0,1,165,35,0.7780215946336398,REF007938,V36816,Total loss,2019-09-12,Theft,Comprehensive,1,No,43757,0.3964725382053703,0,13259.591293025394,21,0,0.0
PH002993,V16102,Other,2010-12-07,Motorcycle,33014,1,1,207,36,0.3122618932853233,REF002993,V88830,Theft reported,2020-06-21,Natural Disaster,Medical,7,No,51245,0.8273188918512434,0,19787.07437949485,7,1,0.0
PH002028,V62431,Business,2016-12-19,Van,69516,1,2,50,25,0.8110417644239882,REF002028,V92081,Theft reported,2019-04-10,Fire,Medical,8,No,28682,0.1921734864062472,0,10240.001030173784,11,0,0.0
PH007052,V96374,Doctor,2017-04-19,Van,24101,0,1,62,65,0.4340329470643395,REF007052,V43619,Minor damage,2019-03-22,Accident,Medical,9,No,61043,0.22674807744955539,0,10104.272688413024,1,0,0.0
PH007498,V78847,Other,2017-12-21,Motorcycle,67518,1,4,149,56,0.4887841508369938,REF007498,V74920,Minor damage,2019-11-12,Accident,Comprehensive,8,No,66024,0.07972781631320824,0,28151.8319644236,0,0,0.0
PH006831,V83079,Other,2015-10-05,SUV,74314,1,4,200,48,0.2754131953692676,REF006831,V10226,Theft reported,2020-06-26,Accident,Medical,5,No,80400,0.5800860257521141,0,42996.11193450427,12,2,0.0
PH007999,V65434,Engineer,2012-04-25,Car,54223,1,1,88,77,0.6087195822066083,REF007999,V17017,Partial damage,2019-07-03,Vandalism,Comprehensive,1,No,13017,0.019004301392947065,0,40900.87868753824,6,0,0.0
PH006848,V16426,Engineer,2012-07-14,Motorcycle,75322,1,1,166,20,0.5403899045113769,REF006848,V33827,Total loss,2019-02-23,Theft,Collision,8,No,60276,0.20913796364976867,0,47108.753602469806,9,1,0.0
PH008112,V29391,Doctor,2020-09-21,Truck,74084,0,1,146,39,0.19799573655368796,REF008112,V43187,Total loss,2020-08-19,Theft,Collision,3,No,56207,0.4918592722372084,0,12530.00925609662,14,0,0.0
PH007537,V65965,Business,2017-06-22,Car,79555,1,1,117,73,0.6653023299776547,REF007537,V55188,Total loss,2019-07-20,Accident,Medical,6,No,33074,0.6116294549531751,0,20576.31655541061,10,0,0.0
PH005965,V14607,Other,2012-10-23,Truck,52255,0,1,38,36,0.8431591054557906,REF005965,V28411,Partial damage,2019-09-20,Theft,Comprehensive,6,No,58084,0.959656934395196,0,46484.65879979758,7,0,0.0
PH003724,V75031,Teacher,2018-02-14,SUV,71625,0,1,192,59,0.3851862598586405,REF003724,V56151,Total loss,2019-10-17,Natural Disaster,Collision,8,No,40396,0.332693387384176,0,25059.41197062054,12,0,0.0
PH008755,V18444,Engineer,2012-06-24,SUV,76982,1,3,19,48,0.6995387947164802,REF008755,V72721,Partial damage,2019-08-14,Fire,Comprehensive,5,No,26893,0.4988665714047529,0,5196.1092588171205,7,0,0.0
PH009750,V76160,Engineer,2010-04-28,Van,17897,1,1,95,34,0.6590476746557392,REF009750,V46612,Minor damage,2019-11-24,Fire,Medical,3,No,47485,0.13768496945475506,1,38574.69576846991,0,0,0.0
PH007234,V35646,Other,2016-09-21,SUV,32772,0,1,224,53,0.3485753497049716,REF007234,V57633,Theft reported,2019-09-12,Fire,Collision,5,No,39879,0.8443355785204206,0,33852.711076698266,4,0,0.0
PH006388,V85527,Other,2013-04-13,SUV,68333,1,1,103,33,0.8697047812205557,REF006388,V36502,Total loss,2019-06-27,Vandalism,Collision,5,No,56399,0.35897020265465795,0,15978.651660582267,4,0,0.0
PH003299,V85674,Teacher,2016-01-27,Van,11686,0,1,54,35,0.7814448229246338,REF003299,V24779,Theft reported,2020-07-05,Fire,Liability,4,No,31159,0.8503553752914261,0,46109.117926424966,2,0,0.0
PH002930,V79758,Engineer,2015-03-30,Truck,42654,0,1,143,32,0.10699153459888483,REF002930,V89152,Partial damage,2019-08-16,Theft,Comprehensive,9,No,45708,0.5384901615977669,0,27148.094947789716,4,1,0.0
PH006677,V74414,Business,2010-11-03,SUV,62749,1,1,190,25,0.7661057783347085,REF006677,V35197,Minor damage,2019-10-24,Vandalism,Comprehensive,3,No,77967,0.9089182378957603,0,47620.93408133204,16,0,0.0
PH004962,V52255,Teacher,2014-10-20,Motorcycle,22839,0,2,190,72,0.7720504775523461,REF004962,V42339,Minor damage,2019-05-05,Accident,Collision,5,No,58150,0.5074851150897773,1,34090.16085988473,11,0,0.0
PH002115,V44311,Lawyer,2015-02-03,Car,83735,0,1,16,53,0.7077371105018267,REF002115,V92245,Theft reported,2019-11-28,Theft,Liability,4,No,26805,0.5565262484403835,0,22949.841526067703,5,0,0.0
PH002488,V24316,Other,2014-02-13,Motorcycle,30745,0,4,114,60,0.3675698675009552,REF002488,V44449,Minor damage,2020-02-25,Theft,Medical,2,No,14382,0.8346310325474718,1,43618.176199611364,12,0,0.0
PH009550,V18056,Teacher,2017-11-22,Van,13998,1,1,173,41,0.5181164967240242,REF009550,V49298,Minor damage,2020-11-05,Accident,Comprehensive,6,No,94009,0.5211258339746745,0,47586.53207658614,9,0,0.0
PH007673,V19441,Other,2014-01-23,Car,66657,0,2,138,46,0.1321619557832664,REF007673,V84098,Minor damage,2019-04-06,Accident,Collision,2,No,53574,0.6124515057837786,0,31985.35682328114,12,0,0.0
PH002172,V19720,Lawyer,2011-08-15,SUV,78740,0,1,214,66,0.8114374776733567,REF002172,V45532,Total loss,2019-05-01,Natural Disaster,Collision,1,No,84913,0.10328986793712347,1,39923.81094833467,14,0,0.0
PH004910,V10568,Doctor,2018-05-05,Motorcycle,54335,0,1,64,32,0.6768999640008471,REF004910,V11857,Partial damage,2019-06-09,Fire,Comprehensive,5,No,51932,0.24652253054355,0,38612.6846213381,20,0,0.0
PH008419,V11832,Business,2015-04-10,Van,76560,0,1,46,78,0.6007564790210391,REF008419,V97435,Partial damage,2020-11-06,Fire,Liability,3,No,70875,0.6094199628065955,0,1944.8609749619238,5,0,0.0
PH001374,V46160,Teacher,2014-07-07,Motorcycle,65130,0,2,56,34,0.38788416551295224,REF001374,V68342,Partial damage,2020-01-16,Natural Disaster,Liability,3,Yes,55879,0.14812085980843426,0,28818.084515384402,7,2,0.0
PH002709,V39188,Teacher,2012-08-16,Truck,65107,0,2,114,72,0.446283518444233,REF002709,V61879,Partial damage,2020-06-03,Fire,Collision,2,No,32561,0.5834196423302512,0,10641.885260819532,4,0,0.0
PH003810,V23624,Engineer,2019-07-16,Van,28426,0,3,142,35,0.79594860742274,REF003810,V95240,Theft reported,2019-04-03,Accident,Medical,6,No,34079,0.0901211154734699,0,32026.793357664654,11,0,0.0
PH005665,V47289,Engineer,2013-04-18,Van,62203,0,1,56,51,0.49656184870327347,REF005665,V77740,Total loss,2020-02-02,Fire,Liability,2,No,13832,0.9168018209736932,0,12142.686513035913,13,0,0.0
PH005281,V32103,Business,2012-12-29,Motorcycle,26609,0,1,79,44,0.8871920419797921,REF005281,V52550,Theft reported,2019-04-29,Fire,Medical,9,No,85622,0.6225853378347835,1,37268.886150951126,17,0,0.0
PH007433,V17120,Lawyer,2013-03-31,Van,32664,1,3,69,74,0.5443023870635835,REF007433,V27346,Minor damage,2020-06-15,Fire,Comprehensive,2,No,42753,0.009252702318793937,0,46012.74292382362,5,0,0.0
PH005742,V41726,Other,2012-06-15,Van,86763,0,1,23,21,0.7685740958368193,REF005742,V21974,Theft reported,2019-01-31,Accident,Comprehensive,3,No,63981,0.041762475026250634,0,21758.31808130415,3,0,0.0
PH008780,V14850,Business,2010-01-21,Van,59036,0,4,153,79,0.6363987835192839,REF008780,V69388,Partial damage,2019-04-30,Accident,Medical,2,No,35289,0.8204581362388064,0,32955.0525150913,16,0,0.0
PH001272,V57823,Lawyer,2011-03-10,Van,78125,0,2,57,32,0.34874709837680007,REF001272,V26182,Minor damage,2019-08-20,Vandalism,Comprehensive,1,No,64619,0.07365466636284779,0,21823.97588249816,14,0,0.0
PH001422,V78955,Other,2019-09-14,Motorcycle,69730,1,2,131,29,0.4530232725483765,REF001422,V25378,Total loss,2020-08-07,Natural Disaster,Comprehensive,7,No,71802,0.136053174416505,1,22534.205957888862,14,0,0.0
PH006930,V93558,Teacher,2015-11-22,Car,63751,1,1,112,53,0.7711734357483523,REF006930,V65878,Total loss,2020-02-27,Natural Disaster,Liability,3,No,91230,0.6125961325522338,0,49754.615435095926,21,1,0.0
PH002504,V23178,Business,2017-04-24,Van,62632,0,1,39,56,0.6673773192443699,REF002504,V19565,Minor damage,2019-01-09,Vandalism,Medical,7,No,61136,0.7613751536595103,0,25125.359036148016,12,0,0.0
PH001552,V10800,Other,2015-07-27,Motorcycle,42007,0,3,20,60,0.8428843525895224,REF001552,V50180,Partial damage,2020-11-22,Vandalism,Collision,8,No,63522,0.9172611506668827,0,25013.603133483237,4,0,0.0
PH007379,V72018,Doctor,2014-07-18,Motorcycle,85443,0,1,6,34,0.44975691795461237,REF007379,V74847,Minor damage,2019-10-23,Vandalism,Collision,6,No,78263,0.8675048553802781,1,44095.77706123911,19,0,0.0
PH001931,V49472,Other,2020-12-08,Motorcycle,64034,0,1,114,64,0.3135382567992955,REF001931,V73284,Partial damage,2020-01-24,Vandalism,Comprehensive,8,No,39126,0.27323734479273676,0,37495.89937986448,7,0,0.0
PH000586,V62383,Business,2016-11-02,Truck,24837,0,1,122,78,0.3306184107075484,REF000586,V68422,Minor damage,2020-11-16,Theft,Comprehensive,3,No,68988,0.999762086542391,0,34439.94479072057,16,1,0.0
PH002890,V94108,Business,2017-05-06,Car,14862,0,1,192,25,0.16266326037612044,REF002890,V77194,Total loss,2019-04-11,Accident,Collision,2,No,51453,0.4514387709522788,0,28799.646948317288,13,0,0.0
PH002228,V44688,Other,2013-11-21,Truck,36752,0,2,105,34,0.5090859285257023,REF002228,V40827,Minor damage,2019-07-16,Theft,Liability,1,No,77179,0.4836827357350557,0,15135.996305609999,22,0,0.0
PH000471,V35313,Business,2020-04-10,Motorcycle,67805,0,2,112,69,0.14582162755762323,REF000471,V70476,Theft reported,2020-09-22,Natural Disaster,Comprehensive,9,Yes,19062,0.3217993192664501,0,48450.807443773825,4,0,0.0
PH008879,V49438,Other,2016-04-10,Motorcycle,82743,0,2,48,25,0.767922864414123,REF008879,V31875,Total loss,2019-08-26,Vandalism,Medical,3,No,84082,0.2980832267917225,0,40516.59032789123,0,0,0.0
PH002109,V34385,Other,2013-04-21,SUV,20910,0,1,163,19,0.4765542087041753,REF002109,V72771,Partial damage,2020-11-21,Natural Disaster,Comprehensive,6,No,54293,0.3371343089166322,0,22051.77809044115,3,0,0.0
PH003286,V61849,Teacher,2014-02-24,Van,81442,0,1,153,54,0.8323959643183553,REF003286,V96954,Total loss,2019-04-01,Accident,Comprehensive,6,No,96592,0.6194137568400415,0,48049.095234946326,13,0,0.0
PH009836,V63382,Other,2016-04-02,Van,84658,0,3,151,72,0.7927052932306359,REF009836,V83927,Total loss,2019-12-22,Accident,Liability,1,No,38378,0.2685772502496009,0,9188.160413166634,7,0,0.0
PH008820,V41205,Doctor,2016-10-04,Motorcycle,32665,0,2,56,77,0.4839147040547921,REF008820,V30017,Partial damage,2019-09-18,Fire,Medical,6,No,66645,0.5010414251643206,0,27904.856315189467,19,0,0.0
PH000784,V80539,Engineer,2011-09-09,Truck,86159,0,1,97,19,0.7752830467677343,REF000784,V43022,Minor damage,2019-02-27,Theft,Collision,5,No,70754,0.5119711306649618,0,34345.11533543947,22,0,0.0
PH002832,V53642,Teacher,2020-04-29,Car,27265,0,1,236,22,0.5181706686900239,REF002832,V37563,Theft reported,2020-03-25,Fire,Medical,7,No,55117,0.5580841223026772,1,32416.473146578388,0,0,0.0
PH000659,V56105,Other,2010-09-29,Motorcycle,26560,0,1,89,60,0.8152037605105463,REF000659,V42847,Total loss,2020-06-20,Natural Disaster,Medical,8,Yes,59150,0.3300435292947267,0,17431.548218192223,6,1,0.0
PH007038,V70210,Doctor,2016-03-24,Car,58431,0,2,146,43,0.611869177989927,REF007038,V26893,Partial damage,2019-07-27,Theft,Medical,8,No,96669,0.6124209803653264,1,23218.945446979676,9,0,0.0
PH002055,V65851,Doctor,2011-06-01,Car,37865,0,1,9,74,0.31015476419926236,REF002055,V84666,Partial damage,2019-11-08,Accident,Medical,8,No,58303,0.6128765362133191,0,42423.84384496831,2,0,0.0
PH003809,V50306,Engineer,2011-12-24,Van,25779,0,1,36,40,0.5791605971384409,REF003809,V39523,Minor damage,2019-03-28,Theft,Comprehensive,1,No,90004,0.347001918567008,0,5658.577842007909,9,1,0.0
PH000058,V35203,Lawyer,2017-03-19,Van,29098,0,2,238,76,0.404047850454225,REF000058,V16797,Total loss,2019-01-19,Fire,Medical,4,No,86045,0.08503906140898487,0,27515.174638506178,5,0,1.0
PH008501,V87982,Other,2016-07-09,Van,15640,1,1,55,70,0.5762839175476405,REF008501,V74182,Minor damage,2019-03-07,Natural Disaster,Collision,9,Yes,49666,0.728602601002626,0,32037.49806797554,19,0,0.0
PH004229,V80968,Lawyer,2016-08-18,Car,74506,1,2,133,62,0.13975766637732134,REF004229,V89791,Theft reported,2019-07-08,Fire,Collision,8,No,26570,0.8666174907686184,0,15995.556130538116,10,1,0.0
PH006301,V83156,Engineer,2018-10-07,Car,45671,1,1,104,54,0.4528633206099669,REF006301,V34608,Total loss,2020-08-11,Natural Disaster,Collision,3,No,35054,0.8584405824809909,0,33910.15837144982,7,0,0.0
PH008792,V15535,Doctor,2019-05-07,SUV,68928,1,2,194,18,0.8609711670875406,REF008792,V18752,Total loss,2020-03-24,Theft,Collision,2,No,14684,0.47331417598024406,0,12933.899683277004,12,0,0.0
PH007197,V87616,Teacher,2020-08-28,Car,60652,1,2,54,33,0.2881628907466455,REF007197,V12744,Partial damage,2020-02-18,Natural Disaster,Liability,7,No,41470,0.6406581858291361,0,4691.574814541441,7,0,0.0
